pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj123,Henry Hall,,Gen. James Clinton,c. 1861,print,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection, The New York Public Library",http://digitalcollections.nypl.org/items/510d47da-2756-a3d9-e040-e00a18064a99,123,gallery_item,visual-gallery,/img/derivatives/simple/obj123/thumbnail.jpg,/img/derivatives/simple/obj123/full.jpg,
obj13,Steve Gonyea,Onondaga Nation,america1777,2005,painting,,,13,gallery_item,visual-gallery,/img/derivatives/simple/obj13/thumbnail.jpg,/img/derivatives/simple/obj13/full.jpg,
obj14,John Vanderlyn,,The Death of Jane McCrea,1804,painting,"Wadsworth Atheneum, Hartford, Connecticut, USA",https://commons.wikimedia.org/wiki/File:The_Death_of_Jane_McCrea_John_Vanderlyn_1804.jpeg,14,gallery_item,visual-gallery,/img/derivatives/simple/obj14/thumbnail.jpg,/img/derivatives/simple/obj14/full.jpg,
obj15,David Kanietakeron Fadden,online,Clearing Darkness: The First Condolence,2006,painting,,,15,gallery_item,visual-gallery,/img/derivatives/simple/obj15/thumbnail.jpg,/img/derivatives/simple/obj15/full.jpg,
obj16,,,Boyd-Parker Park 2,6/10/06,photo,,,16,gallery_item,visual-gallery,/img/derivatives/simple/obj16/thumbnail.jpg,/img/derivatives/simple/obj16/full.jpg,
obj17,Ernest Smith,,Driven from Home ,1936,painting,,,17,gallery_item,visual-gallery,/img/derivatives/simple/obj17/thumbnail.jpg,/img/derivatives/simple/obj17/full.jpg,
obj18,,,Little Beard's Town Map,6/10/06,map,,,18,gallery_item,visual-gallery,/img/derivatives/simple/obj18/thumbnail.jpg,/img/derivatives/simple/obj18/full.jpg,
obj19,,,Little Beards Town Marker,6/10/06,photo,,,19,gallery_item,visual-gallery,/img/derivatives/simple/obj19/thumbnail.jpg,/img/derivatives/simple/obj19/full.jpg,
obj2,Peter Jemison,online,At The Border,1984,painting,,,2,gallery_item,visual-gallery,/img/derivatives/simple/obj2/thumbnail.jpg,/img/derivatives/simple/obj2/full.jpg,
obj20,,,Karmic Justice?,6/10/06,photo,,,20,gallery_item,visual-gallery,/img/derivatives/simple/obj20/thumbnail.jpg,/img/derivatives/simple/obj20/full.jpg,
